time [s],Cell Voltage [V],SOC [%]
1085,3.587,20.80935942
1086,3.585,20.82853855
1087,3.584,20.84771768
1088,3.583,20.86689682
1089,3.584,20.88607595
1090,3.585,20.90525508
1091,3.587,20.92443422
1092,3.589,20.94361335
1093,3.589,20.96279248
1094,3.589,20.98197161
1095,3.5895,21.00115075
1096,3.59,21.02032988
1097,3.59,21.03950901
1098,3.59,21.05868815
1099,3.5895,21.07786728
1100,3.589,21.09704641
1101,3.5895,21.11622555
1102,3.59,21.13540468
1103,3.59,21.15458381
1104,3.59,21.17376295
1105,3.5895,21.19294208
1106,3.589,21.21212121
1107,3.5895,21.23130035
1108,3.59,21.25047948
1109,3.589,21.26965861
1110,3.588,21.28883774
1111,3.5885,21.30801688
1112,3.589,21.32719601
1113,3.5945,21.34637514
1114,3.6,21.36555428
1115,3.595,21.38473341
1116,3.59,21.40391254
1117,3.59,21.42309168
1118,3.59,21.44227081
1119,3.59,21.46144994
1120,3.59,21.48062908
1121,3.59,21.49980821
1122,3.59,21.51898734
1123,3.595,21.53816647
1124,3.6,21.55734561
1125,3.5945,21.57652474
1126,3.589,21.59570387
1127,3.5895,21.61488301
